date,brokerage_etf_flow,bank_insurance_etf_flow,semiconductor_etf_flow,ai_computer_etf_flow,communication_electronics_etf_flow,new_energy_ev_etf_flow,healthcare_pharma_etf_flow,consumer_etf_flow,defense_military_etf_flow,resources_materials_etf_flow,real_estate_infra_etf_flow
2026-07-07,,,,,,,,,,,
2026-07-08,0.0,0.0,0.0,-86184262.656,-755486096.896,-6880000.0,0.0,-25000000.0,0.0,0.0,0.0
2026-07-09,481622622.208,-447468000.0,-100028000.0,122360000.0,1625298103.296,10284000.0,243504000.0,34608000.0,64636000.00000001,-44497332.480000004,-4756000.0
2026-07-10,0.0,0.0,0.0,0.0,0.0,1671000.0,0.0,0.0,0.0,0.0,0.0
2026-07-14,,,,,,,,,,,
2026-07-15,497338859.52000004,244584000.0,1596672000.0,239422259.71199998,1276638680.0640001,-14589000.0,-252414048.512,-26240000.0,81153073.152,-699947666.944,75285000.0
2026-07-16,794173259.776,932124650.496,1712000000.0,444080000.0,2306498819.072,-26401000.0,-852488046.592,-52240000.0,275058067.968,-557875895.296,210574000.0
2026-07-17,794173259.776,932124650.496,1712000000.0,444080000.0,1758210819.072,-26401000.0,-852488046.592,-87501916.41600001,275058067.968,-557875895.296,210574000.0
2026-07-20,807813640.192,954571251.712,1664000000.0,454328000.0,1720858844.16,-18204000.0,-880592048.128,-54080000.0,273245067.52,-554124896.0,208571999.99999997
2026-07-21,821366194.176,1681752000.0,2265120000.0,737840000.0,3485370743.8079996,-6316000.0,-697480024.064,-69576000.0,350979860.48,-620730109.4399999,194479999.99999997
2026-07-22,77566246.912,-375849600.0,-1147392000.0,-336429746.688,-1715074797.568,9312000.0,36192000.0,0.0,-46569069.312,-378352226.304,2316000.0
